PUN,Status,Recipe/Task,Total Execution Time (s)
1222306M01201040,Pass,14,0.34445509506009275
1122305M01402980,Pass,12,0.2563941965893769
1122305M01403100,Pass,32,0.21547749799459337
1122306M01200480,Pass,34,0.2527070973480563
1222306M01401020,Pass,13,0.43475649349189954
1122306M01100200,Pass,31,0.1546750990505007
1122305M01203080,Pass,21,0.20457779748923144
1122305M01302890,Pass,11,0.2855947960822731
1122306M01300500,Pass,14,0.271231796331704
1122305M01202600,Pass,33,0.22789339777897624
1122306M01100870,Pass,23,0.20073899755589683
1122305M01102950,Pass,14,0.275162996263434
1122306M01100800,Pass,22,0.24893519671891146
1122306M01400510,Pass,14,0.2757627962530177
1122305M01202440,Pass,22,0.2144420973179259
1122306M01300080,Pass,23,0.2767179962364295
1122305M01202560,Pass,23,0.18926419775517064
1122306M01400340,Fail,33,0.14105789928697987
1122306M01200610,Pass,23,0.18085819790115099
1122305M01203000,Pass,23,0.19089169772690712
1122306M01200440,Pass,13,0.263004096474588
1222306M01400940,Pass,32,0.2578518972587106
1122305M01102390,Pass,33,0.2178872979527443
1122306M01100070,Pass,24,0.2292529970607167
1122306M01100560,Pass,33,0.19530839834485425
1122306M01400670,Pass,24,0.20875579741667538
1122306M01100600,Pass,23,0.18827919777227636
1122306M01400900,Pass,14,0.27940709618973003
1122306M01100760,Pass,13,0.22661149710658954
1122305M01302610,Pass,11,0.26183799649483874
1122306M01200770,Pass,23,0.18585769781432862
1122306M01100200,Pass,32,0.26551849712557085
1122305M01202760,Pass,12,0.3064128957207416
1122305M01202440,Pass,21,0.19791009760502412
1122305M01402700,Pass,21,0.19460089766249236
1122305M01102830,Pass,21,0.19627979763333625
1122306M01300490,Pass,32,0.20170309823380253
1122305M01203080,Fail,31,0.12258219960783276
1122306M01100390,Pass,33,0.2613304971983005
1122305M01402660,Pass,22,0.19858719759326546
1222306M01201040,Pass,23,0.25624969659188634
1122306M01300140,Pass,14,0.40217069405779143
1122306M01400230,Pass,21,0.21138899737094669
1122306M01100070,Pass,11,0.2546164966202488
1122305M01303010,Pass,31,0.1614779989323601
1122305M01202400,Pass,14,0.2630808964732543
1122305M01203000,Pass,21,0.18702419779407095
1122306M01200400,Pass,21,0.1905048977336244
1122305M01303090,Pass,11,0.25619009659292136
1122306M01100760,Pass,33,0.20801989812410365
1122306M01300220,Pass,32,0.24833319742401436
1222306M01100950,Pass,32,0.2560740972895843
1122306M01100470,Pass,34,0.23533109764981158
1122305M01102630,Pass,24,0.20894279741342792
1122306M01100600,Pass,21,0.19976659757278373
1122305M01402980,Pass,11,0.263299496469458
1122306M01200360,Pass,11,0.25965459653275613
1122306M01400190,Pass,22,0.3913867942450669
1222306M01301010,Pass,34,0.24556519747208405
1122305M01302570,Pass,11,0.26040969651964285
1122305M01303090,Pass,31,0.15904639897458778
1122305M01403140,Pass,24,0.20432219749367025
1122305M01102950,Pass,34,0.2401195975666535
1122305M01302890,Pass,22,0.2076992974350228
1122305M01302930,Pass,33,0.2251450978267038
1122305M01203000,Pass,14,0.2828802961294137
1122305M01102910,Fail,34,0.13003369947842844
1122306M01100100,Pass,13,0.43129359355203706
1122306M01200880,Pass,32,0.243666397505059
1122306M01300740,Pass,21,0.19689059762272898
1122305M01202400,Pass,11,0.2565462965867355
1122305M01202520,Pass,24,0.20847849742149108
1122305M01302410,Pass,31,0.15514129904240456
1122305M01102990,Pass,14,0.27407619628230756
1122306M01200770,Pass,21,0.19881829758925212
1122305M01402500,Pass,21,0.18915059775714343
1122305M01202680,Pass,22,0.21635809728465225
1122306M01400710,Pass,11,0.24437699679807015
1122305M01302610,Pass,13,0.25470209661876225
1122306M01400340,Pass,11,0.2884909960319771
1122305M01202760,Pass,21,0.19420699766933291
1122305M01303010,Pass,23,0.19105659772404343
1122306M01200730,Pass,32,0.25326979733828436
1122306M01400550,Pass,21,0.18416629784370184
1122306M01100390,Pass,21,0.2514046966760256
1122305M01402620,Pass,13,0.23887689689358604
1122306M01200480,Pass,13,0.3991646941099943
1122305M01202840,Pass,23,0.19225479770323525
1122305M01203080,Fail,31,0.12589559955029156
1122305M01402500,Pass,24,0.20045939756075246
1122306M01100560,Pass,24,0.20278069752044026
1122306M01200730,Pass,23,0.20347179750843847
1122306M01300700,Pass,32,0.2440057974991649
1122305M01103070,Pass,34,0.20072159825084745
1122305M01402860,Pass,13,0.24539279678042952
1122305M01203000,Pass,24,0.19920849758247583
1222306M01301010,Pass,14,0.30194229579837895
1122305M01202760,Pass,24,0.20363019750568767
1122305M01303010,Pass,21,0.20156789754150198
1122306M01300490,Pass,14,0.26085729651186973
1122305M01202480,Pass,13,0.22429779714676976
1122305M01402700,Pass,33,0.20888439810909054
1122305M01303010,Pass,34,0.21576459798960754
1122306M01400090,Pass,22,0.20908009741104353
1122306M01100870,Pass,12,0.4165116938087426
1122306M01400230,Pass,12,0.574018391073448
1122306M01100310,Pass,24,0.4285309936000129
1122306M01400060,Pass,11,0.2545250966218361
1122305M01303090,Pass,21,0.19503979765487034
1122306M01400590,Pass,13,0.24166819684511173
1122306M01300450,Pass,13,0.4313897935503664
1122305M01402620,Pass,14,0.23479639696444884
1122306M01200770,Pass,31,0.157200099006651
1122306M01300930,Pass,13,0.24670589675762597
1122305M01202840,Pass,14,0.25555629660392803
1122306M01400120,Pass,21,0.19628799763319385
1122306M01100870,Pass,13,0.2812128961583701
1122306M01100720,Pass,14,0.36517389470028566
1122305M01203080,Pass,11,0.2547355966181805
1122305M01302610,Pass,31,0.15672479901490516
1122305M01103030,Pass,33,0.22135799789247138
1122306M01300220,Pass,11,0.24482259679033175
1122306M01300180,Pass,33,0.23975209757303556
1122305M01302650,Pass,34,0.20756299813203827
1122306M01300540,Pass,12,0.40033999408958376
1122305M01302610,Pass,34,0.2639406971529712
1222306M01100990,Pass,33,0.2362499976338538
1122306M01200400,Pass,33,0.2757302969482306
1122305M01302970,Pass,23,0.21971539722634867
1122305M01202680,Pass,13,0.24802669673468866
1122305M01102630,Pass,21,0.18733599778865617
1122306M01200690,Pass,23,0.19218819770439186
1122305M01202520,Pass,13,0.2355034969521692
1122305M01202840,Pass,31,0.15135569910814609
1122306M01100280,Pass,32,0.2667929971034376
1122306M01100310,Pass,23,0.31619959555078375
1122306M01200210,Pass,11,0.2392179968876624
1122305M01302530,Pass,32,0.20916379810423844
1122306M01200650,Pass,13,0.2545449966214905
1122305M01302490,Pass,11,0.2454676967791288
1122305M01302810,Pass,34,0.21149249806379772
1122306M01100160,Pass,12,0.48593099260319245
1122306M01400590,Pass,24,0.20512849747966785
