Capture Time,PUN,X,Y
2022/10/26 00:43:08:273,1122235BHA110520,539.7,502.9
2022/10/26 00:44:40:106,1122235BHA110521,580.0,545.3
2022/10/26 00:44:24:001,1122235BHA110522,553.2,584.9
2022/10/26 00:44:21:098,1122235BHA110523,537.6,778.2
2022/10/26 00:43:59:791,1122235BHA110524,581.8,482.6
2022/10/26 00:42:58:270,1122235BHA110525,595.1,538.1
2022/10/26 00:44:43:005,1122235BHA110526,579.1,624.5
2022/10/26 00:37:12:345,1122235BHA110527,557.6,654.0
2022/10/26 00:39:26:594,1122235BHA110528,595.9,515.8
2022/10/26 00:39:28:995,1122235BHA110529,587.4,575.7
2022/10/26 00:39:10:687,1122235BHA110530,552.1,575.3
2022/10/26 00:37:32:853,1122235BHA110531,527.9,512.3
2022/10/26 00:37:29:553,1122235BHA110532,576.5,511.9
2022/10/26 00:39:07:486,1122235BHA110533,565.2,697.2
2022/10/26 00:39:16:694,1122235BHA110534,535.5,494.6
2022/10/26 00:42:44:166,1122235BHA110535,565.5,556.8
2022/10/26 00:37:15:248,1122235BHA110536,571.7,567.7
2022/10/26 00:37:18:349,1122235BHA110537,556.6,553.2
2022/10/26 00:37:36:553,1122235BHA110538,574.4,500.2
2022/10/26 00:37:21:247,1122235BHA110539,554.6,531.0
2022/10/26 00:42:40:963,1122235BHA110540,583.5,667.3
2022/10/26 00:26:00:306,1122235BHA110541,548.3,501.2
2022/10/26 00:37:39:857,1122235BHA110542,562.1,506.2
2022/10/26 00:23:00:742,1122235BHA110544,572.7,554.2
2022/10/26 00:25:38:710,1122235BHA110545,555.2,520.3
2022/10/26 00:22:42:834,1122235BHA110546,536.0,542.5
2022/10/26 00:24:01:463,1122235BHA110547,597.0,491.1
2022/10/26 00:23:16:647,1122235BHA110550,535.4,644.1
2022/10/26 00:23:58:660,1122235BHA110551,580.3,524.5
2022/10/26 00:23:19:147,1122235BHA110552,586.7,536.4
2022/10/26 00:25:35:099,1122235BHA110553,572.4,515.5
2022/10/26 00:23:22:148,1122235BHA110555,528.6,564.9
2022/10/26 00:23:03:042,1122235BHA110556,596.3,488.2
2022/10/26 00:32:45:548,1122235BHA110661,578.6,549.0
2022/10/26 00:26:56:132,1122235BHA110663,563.2,523.1
2022/10/26 00:33:07:259,1122235BHA110664,573.6,536.6
2022/10/26 00:32:48:450,1122235BHA110665,583.1,575.3
2022/10/26 00:33:16:665,1122235BHA110666,568.1,504.7
2022/10/26 00:34:41:791,1122235BHA110667,572.5,516.3
2022/10/26 00:34:02:277,1122235BHA110668,576.0,473.0
2022/10/26 01:05:20:449,1122235BHA110669,549.7,548.8
2022/10/26 00:32:52:852,1122235BHA110670,533.8,507.7
2022/10/26 00:34:47:997,1122235BHA110671,577.0,541.6
2022/10/26 00:34:27:289,1122235BHA110672,585.8,560.5
2022/10/26 00:34:50:595,1122235BHA110673,611.3,491.0
2022/10/26 00:33:13:558,1122235BHA110674,571.5,486.5
2022/10/26 00:33:10:459,1122235BHA110675,552.0,529.5
2022/10/26 00:34:30:187,1122235BHA110676,561.6,528.2
2022/10/26 00:24:46:480,1122235BHA110677,556.1,517.7
2022/10/26 00:26:31:420,1122235BHA110678,547.2,570.2
2022/10/26 00:26:35:217,1122235BHA110679,530.1,524.5
2022/10/26 00:25:50:201,1122235BHA110680,574.1,535.1
2022/10/26 00:24:42:878,1122235BHA110681,549.2,539.9
2022/10/26 00:25:10:386,1122235BHA110682,536.0,471.3
2022/10/26 00:27:38:439,1122235BHA110683,564.5,495.9
2022/10/26 00:34:24:486,1122235BHA110684,585.1,557.1
2022/10/26 00:31:37:927,1122235BHA110685,586.5,496.7
2022/10/26 00:27:14:331,1122235BHA110686,528.3,516.2
2022/10/26 00:27:10:931,1122235BHA110687,577.6,501.8
2022/10/26 00:27:07:939,1122235BHA110688,582.9,549.2
2022/10/26 00:32:50:752,1122235BHA110690,568.8,523.0
2022/10/26 00:24:08:065,1122235BHA110691,606.4,494.2
2022/10/26 00:21:44:912,1122235BHA110693,559.6,559.0
2022/10/26 00:22:56:039,1122235BHA110694,546.3,537.9
2022/10/26 00:23:25:449,1122235BHA110695,541.0,493.2
2022/10/26 00:24:04:964,1122235BHA110696,576.3,487.4
2022/10/26 00:21:28:108,1122235BHA110698,578.9,525.8
2022/10/26 00:20:03:076,1122235BHA110699,563.5,518.5
2022/10/26 00:22:40:733,1122235BHA110700,546.2,543.4
2022/10/26 00:27:54:247,1122235BHA110701,592.5,496.9
2022/10/26 00:25:12:386,1122235BHA110702,543.3,488.5
2022/10/26 00:25:07:787,1122235BHA110703,523.9,505.0
2022/10/26 00:22:02:319,1122235BHA110704,560.6,507.5
2022/10/26 00:22:53:139,1122235BHA110705,591.1,640.6
2022/10/26 00:25:28:593,1122235BHA110706,578.4,545.6
2022/10/26 00:24:39:479,1122235BHA110707,553.0,548.6
2022/10/26 00:21:36:612,1122235BHA110708,571.3,505.4
2022/10/26 00:21:32:611,1122235BHA110709,593.1,503.5
2022/10/26 00:25:56:702,1122235BHA110710,538.5,476.7
2022/10/26 00:25:53:102,1122235BHA110711,532.8,524.0
2022/10/26 00:25:31:895,1122235BHA110712,576.3,556.9
2022/10/26 00:25:04:984,1122235BHA110713,574.9,523.1
2022/10/26 00:21:52:017,1122235BHA110714,535.6,514.5
2022/10/26 00:22:07:522,1122235BHA110715,579.2,526.3
2022/10/26 00:24:36:978,1122235BHA110716,574.5,556.8
2022/10/26 00:22:38:634,1122235BHA110718,575.7,628.4
2022/10/26 00:21:39:812,1122235BHA110719,575.2,527.4
2022/10/26 00:20:05:177,1122235BHA110720,560.5,536.6
2022/10/26 00:32:02:937,1122235BHA110721,555.5,504.9
2022/10/26 00:22:35:931,1122235BHA110722,565.9,695.0
2022/10/26 00:32:06:240,1122235BHA110723,588.6,540.6
2022/10/26 00:32:20:042,1122235BHA110724,557.9,496.5
2022/10/26 00:32:17:339,1122235BHA110725,556.5,488.0
2022/10/26 00:31:59:032,1122235BHA110726,539.4,542.9
2022/10/26 00:32:13:137,1122235BHA110727,587.5,508.6
2022/10/26 00:29:03:571,1122235BHA110728,571.9,515.0
2022/10/26 00:28:48:567,1122235BHA110729,582.5,538.1
2022/10/26 00:32:15:239,1122235BHA110730,534.8,518.0
2022/10/26 00:31:55:932,1122235BHA110731,573.0,570.9
2022/10/26 00:38:07:766,1122235BHA110732,599.0,462.8
2022/10/26 00:39:35:501,1122235BHA110733,545.0,500.6
2022/10/26 00:28:44:163,1122235BHA110734,533.9,560.4
2022/10/26 00:28:59:669,1122235BHA110735,527.6,522.1
2022/10/26 00:38:19:070,1122235BHA110736,582.8,523.9
2022/10/26 00:28:09:354,1122235BHA110737,558.3,549.4
2022/10/26 00:27:35:540,1122235BHA110738,552.6,528.7
2022/10/26 00:29:05:571,1122235BHA110739,544.9,499.4
2022/10/26 00:28:21:856,1122235BHA110740,594.5,518.1
2022/10/26 00:28:24:455,1122235BHA110741,580.4,494.0
2022/10/26 00:28:26:556,1122235BHA110742,596.7,522.2
2022/10/26 00:29:55:192,1122235BHA110743,594.8,545.7
2022/10/26 00:29:01:669,1122235BHA110744,547.2,511.9
2022/10/26 00:28:46:164,1122235BHA110745,572.0,548.8
2022/10/26 00:29:52:289,1122235BHA110746,531.3,554.8
2022/10/26 00:29:58:590,1122235BHA110747,603.8,535.5
2022/10/26 00:30:01:691,1122235BHA110748,588.5,538.0
2022/10/26 00:27:05:727,1122235BHA110749,602.2,532.5
2022/10/26 00:28:42:063,1122235BHA110750,557.9,545.1
2022/10/26 00:31:31:523,1122235BHA110751,569.0,481.5
2022/10/26 00:31:34:727,1122235BHA110752,563.5,469.4
2022/10/26 00:33:57:274,1122235BHA110753,550.4,498.3
2022/10/26 00:38:22:572,1122235BHA110754,543.8,488.1
2022/10/26 00:26:38:722,1122235BHA110755,527.4,533.3
2022/10/26 00:31:28:121,1122235BHA110756,568.6,504.2
2022/10/26 00:28:19:053,1122235BHA110757,576.1,564.3
